,uid,datetime,lat,lng
0,1,2019-01-01 08:00:00.000000,2812729.915136782,6049379.4284334695
1,1,2019-01-01 08:31:22.264305,2812805.7540973052,6053888.981005505
2,1,2019-01-01 10:20:25.580133,2806615.0992740993,6059469.427078972
3,1,2019-01-01 17:52:34.175864,2812805.7540973052,6051366.481344129
4,1,2019-01-01 18:28:04.266607,2812729.915136782,6049379.4284334695
5,1,2019-01-01 22:57:09.441761,2810665.2818417563,6045939.656167956
6,1,2019-01-02 00:02:09.052321,2812729.915136782,6049379.4284334695
7,1,2019-01-02 00:44:56.801534,2810665.2818417563,6045939.656167956
8,1,2019-01-02 08:13:33.418460,2809902.1225572084,6045251.701714855
9,1,2019-01-02 08:50:38.847087,2810665.2818417563,6045939.656167956
10,1,2019-01-02 11:36:50.426446,2809902.1225572084,6045251.701714855
11,1,2019-01-02 12:05:01.359975,2809902.1225572084,6056411.4806668805
12,1,2019-01-02 12:40:06.369009,2812729.915136782,6049379.4284334695
13,1,2019-01-02 15:28:58.047267,2812805.7540973052,6051366.481344129
14,1,2019-01-02 16:22:31.005947,2806615.0992740993,6059469.427078972
15,1,2019-01-02 17:20:34.715041,2812729.915136782,6049379.4284334695
16,1,2019-01-02 17:55:40.298336,2809902.1225572084,6045251.701714855
17,1,2019-01-02 18:25:55.014816,2809902.1225572084,6056411.4806668805
18,1,2019-01-02 18:52:31.688233,2812805.7540973052,6051366.481344129
19,1,2019-01-02 19:18:10.749631,2806615.0992740993,6059469.427078972
20,1,2019-01-02 19:43:14.467432,2812805.7540973052,6051366.481344129
21,1,2019-01-02 21:26:36.837111,2806615.0992740993,6059469.427078972
22,1,2019-01-02 21:54:54.321935,2809902.1225572084,6056411.4806668805
23,1,2019-01-02 22:15:00.515435,2812805.7540973052,6051366.481344129
24,1,2019-01-02 22:41:31.199659,2810665.2818417563,6053507.155152083
25,1,2019-01-03 00:54:44.722750,2812118.3242760864,6052819.200698981
26,1,2019-01-03 02:15:37.010720,2809596.380248442,6055341.700360357
27,1,2019-01-03 02:47:44.685160,2810895.2154504135,6052283.753948266
28,1,2019-01-03 03:09:05.998747,2806615.0992740993,6059469.427078972
29,1,2019-01-03 03:43:09.011156,2809902.1225572084,6045251.701714855
30,1,2019-01-03 04:07:20.787593,2809902.1225572084,6053888.981005505
31,1,2019-01-03 06:21:17.499745,2806615.0992740993,6059469.427078972
32,1,2019-01-03 06:49:52.312085,2810665.2818417563,6045939.656167956
33,1,2019-01-03 07:34:56.157182,2812729.915136782,6049379.4284334695
34,1,2019-01-03 08:20:02.675388,2809902.1225572084,6056411.4806668805
35,1,2019-01-03 09:03:01.741955,2810665.2818417563,6045939.656167956
36,1,2019-01-03 09:39:49.381289,2810206.647929597,6054195.109605186
37,1,2019-01-03 10:10:03.463704,2811278.0380651983,6053124.216103755
38,1,2019-01-03 10:35:52.762401,2810206.647929597,6054195.109605186
39,1,2019-01-03 10:56:31.255929,2806615.0992740993,6059469.427078972
40,1,2019-01-03 11:17:03.555705,2810665.2818417563,6053507.155152083
41,1,2019-01-03 12:11:03.068831,2812729.915136782,6049379.4284334695
42,1,2019-01-03 16:49:17.176303,2812805.7540973052,6051366.481344129
43,1,2019-01-04 02:04:03.437700,2810665.2818417563,6053507.155152083
44,1,2019-01-04 02:37:57.397320,2813494.4378956473,6053507.155152083
45,1,2019-01-04 04:04:42.576351,2813494.4378956473,6050984.655490709
46,1,2019-01-04 06:39:48.627120,2809902.1225572084,6045251.701714855
47,1,2019-01-04 10:58:02.717774,2810895.2154504135,6052283.753948266
48,1,2019-01-04 11:19:07.712765,2810665.2818417563,6045939.656167956
49,1,2019-01-04 15:13:12.202577,2806615.0992740993,6059469.427078972
50,1,2019-01-04 15:45:22.414502,2803098.9558196724,6064742.631357849
51,1,2019-01-04 16:05:28.105582,2810665.2818417563,6053507.155152083
52,1,2019-01-04 19:24:27.441928,2806615.0992740993,6059469.427078972
53,1,2019-01-04 21:18:39.750406,2809902.1225572084,6056411.4806668805
54,1,2019-01-04 21:40:03.290565,2809902.1225572084,6045251.701714855
55,1,2019-01-04 22:02:00.454152,2806615.0992740993,6059469.427078972
56,1,2019-01-04 23:05:29.626967,2806615.0992740993,6053353.534254789
57,1,2019-01-04 23:31:37.170305,2813876.101873104,6053048.518850015
58,1,2019-01-05 06:17:51.915722,2808832.051023982,6049456.238882117
59,1,2019-01-05 06:44:53.558004,2806615.0992740993,6059469.427078972
60,1,2019-01-05 07:16:51.280597,2810206.647929597,6054195.109605186
61,1,2019-01-05 07:39:03.093963,2809596.380248442,6055341.700360357
62,1,2019-01-05 08:28:37.237494,2812805.7540973052,6051366.481344129
63,1,2019-01-05 09:25:35.123046,2813876.101873104,6053048.518850015
64,1,2019-01-05 09:54:28.162465,2814181.9292016234,6052513.072099299
65,1,2019-01-05 10:27:47.639722,2812805.7540973052,6051366.481344129
66,1,2019-01-05 10:55:45.170145,2812118.3242760864,6052819.200698981
67,1,2019-01-05 12:18:04.823515,2811048.098739632,6052819.200698981
68,1,2019-01-05 12:40:35.939307,2811278.0380651983,6053124.216103755
69,1,2019-01-05 13:41:04.729978,2810665.2818417563,6045939.656167956
70,1,2019-01-05 16:50:54.141094,2812805.7540973052,6051366.481344129
71,1,2019-01-05 17:22:24.954723,2813876.101873104,6052436.261650653
72,1,2019-01-05 17:43:27.553095,2809596.380248442,6055341.700360357
73,1,2019-01-05 23:07:43.103118,2809902.1225572084,6056411.4806668805
74,1,2019-01-06 05:55:07.674085,2809902.1225572084,6045251.701714855
75,1,2019-01-06 11:09:31.100054,2810665.2818417563,6045939.656167956
76,1,2019-01-06 13:25:16.575781,2812805.7540973052,6051366.481344129
77,1,2019-01-06 13:47:57.978312,2811278.0380651983,6053124.216103755
78,1,2019-01-06 14:14:30.438828,2813417.372279932,6053812.170556857
79,1,2019-01-06 16:54:00.081206,2809596.380248442,6055341.700360357
80,1,2019-01-06 17:35:06.467838,2806615.0992740993,6059469.427078972
81,1,2019-01-06 19:32:04.957338,2812729.915136782,6049379.4284334695
82,1,2019-01-06 22:20:13.512168,2810895.2154504135,6052283.753948266
83,1,2019-01-06 23:02:59.379778,2804779.904949252,6060539.207385494
84,1,2019-01-06 23:49:29.317918,2811278.0380651983,6053124.216103755
85,1,2019-01-07 01:56:37.462406,2810206.647929597,6054195.109605186
86,1,2019-01-07 02:25:19.517832,2806615.0992740993,6053353.534254789
87,1,2019-01-07 02:57:51.671981,2806615.0992740993,6055876.033916165
88,1,2019-01-07 03:22:55.889008,2810665.2818417563,6045939.656167956
89,1,2019-01-07 03:52:35.997161,2812118.3242760864,6052819.200698981
90,1,2019-01-07 16:43:43.504624,2812805.7540973052,6051366.481344129
91,1,2019-01-07 17:37:19.484739,2810665.2818417563,6053507.155152083
92,1,2019-01-07 19:28:18.473420,2809902.1225572084,6045251.701714855
93,1,2019-01-07 19:48:48.452595,2806615.0992740993,6059469.427078972
94,1,2019-01-07 20:33:00.954700,2810665.2818417563,6045939.656167956
95,1,2019-01-07 21:07:29.763614,2813188.6242336472,6052054.435797231
96,1,2019-01-07 21:58:45.806524,2809213.599432709,6053812.170556857
97,1,2019-01-07 23:30:45.176141,2812729.915136782,6049379.4284334695
98,1,2019-01-08 00:00:40.420205,2812729.915136782,6051901.928094845
99,1,2019-01-08 01:09:41.984045,2801569.7567668473,6063061.70704687
100,1,2019-01-08 01:29:53.467896,2812729.915136782,6051901.928094845
101,1,2019-01-08 03:39:21.317588,2806615.0992740993,6053353.534254789
102,1,2019-01-08 04:25:24.576188,2806615.0992740993,6059469.427078972
103,1,2019-01-08 04:55:39.057612,2811659.647078306,6053353.534254789
104,1,2019-01-08 05:44:57.995414,2809902.1225572084,6056411.4806668805
105,1,2019-01-08 12:25:40.440004,2809902.1225572084,6045251.701714855
106,1,2019-01-08 13:04:56.826489,2809902.1225572084,6053888.981005505
107,1,2019-01-08 13:26:11.839590,2812118.3242760864,6052819.200698981
108,1,2019-01-08 13:52:50.457263,2813417.372279932,6053812.170556857
109,1,2019-01-08 14:19:10.808203,2809902.1225572084,6045251.701714855
110,1,2019-01-08 17:08:19.631940,2812805.7540973052,6053888.981005505
111,1,2019-01-08 17:48:57.161258,2812805.7540973052,6052819.200698981
112,1,2019-01-08 18:20:49.463683,2810972.2684384375,6049150.110282435
113,1,2019-01-08 23:09:23.452029,2810665.2818417563,6053507.155152083
114,1,2019-01-08 23:40:29.946703,2809902.1225572084,6053888.981005505
115,1,2019-01-09 00:08:47.289883,2810895.2154504135,6052283.753948266
116,1,2019-01-09 00:52:46.157437,2804551.2851086445,6060003.760634779
117,1,2019-01-09 01:57:13.196318,2809902.1225572084,6056411.4806668805
118,1,2019-01-09 02:35:59.996429,2809902.1225572084,6053888.981005505
119,1,2019-01-09 06:00:31.674774,2810206.647929597,6054195.109605186
120,1,2019-01-09 06:32:11.414111,2810665.2818417563,6053507.155152083
121,1,2019-01-09 08:04:32.273247,2814181.9292016234,6052513.072099299
122,1,2019-01-09 10:55:15.007887,2810665.2818417563,6053507.155152083
123,1,2019-01-09 11:36:54.605931,2812118.3242760864,6052819.200698981
124,1,2019-01-09 12:06:35.007986,2812805.7540973052,6051366.481344129
125,1,2019-01-09 12:40:17.187112,2813494.4378956473,6053507.155152083
126,1,2019-01-09 13:24:41.256664,2810972.2684384375,6049150.110282435
127,1,2019-01-09 18:36:12.679758,2806615.0992740993,6059469.427078972
128,1,2019-01-09 19:33:46.309184,2812729.915136782,6050144.193335218
129,1,2019-01-09 22:08:54.879475,2809290.644008077,6055188.079463062
130,1,2019-01-10 12:25:27.086102,2809902.1225572084,6056411.4806668805
131,1,2019-01-10 12:51:15.789872,2812805.7540973052,6051366.481344129
132,1,2019-01-10 13:49:50.915238,2809902.1225572084,6045251.701714855
133,1,2019-01-10 14:39:25.374746,2809519.3341439664,6050832.147788322
134,1,2019-01-10 16:11:13.923677,2809519.3341439664,6053353.534254789
135,1,2019-01-10 19:53:37.360100,2809902.1225572084,6045251.701714855
136,1,2019-01-10 22:27:44.079549,2809596.380248442,6055341.700360357
137,1,2019-01-10 23:28:29.080611,2806003.7511247685,6055341.700360357
138,1,2019-01-11 00:16:53.927564,2809902.1225572084,6053888.981005505
139,1,2019-01-11 00:40:16.857676,2809902.1225572084,6045251.701714855
140,1,2019-01-11 01:12:08.545667,2812805.7540973052,6051366.481344129
141,1,2019-01-11 01:49:34.275713,2812118.3242760864,6052819.200698981
142,1,2019-01-11 02:11:14.119563,2809902.1225572084,6045251.701714855
143,1,2019-01-11 03:05:12.439065,2810665.2818417563,6053507.155152083
144,1,2019-01-11 03:39:10.769587,2809902.1225572084,6045251.701714855
145,1,2019-01-11 04:04:43.683242,2810665.2818417563,6045939.656167956
146,1,2019-01-11 04:58:10.225895,2813417.372279932,6053812.170556857
147,1,2019-01-11 06:11:08.082053,2814640.681596068,6053277.837001049
148,1,2019-01-11 07:05:44.477949,2810665.2818417563,6053507.155152083
149,1,2019-01-11 08:35:31.340479,2813188.6242336472,6050907.84504206
150,1,2019-01-11 17:27:19.308328,2806690.9081338244,6060386.699683108
151,1,2019-01-12 00:33:11.230344,2812805.7540973052,6051366.481344129
152,1,2019-01-12 00:55:48.820034,2812805.7540973052,6053888.981005505
